iteration,sigma,rho,Q,bestLength
20000,1,0.7,0,410.103225524974
20000,1,0.7,1,403.276091759026
20000,1,0.7,2,396.938345878343
20000,1,0.7,3,418.749295590573
20000,1,0.7,4,421.588935906588
20000,1,0.7,5,423.715729383766
20000,1,0.7,6,409.750907247314
20000,1,0.7,7,403.237980680705
20000,1,0.7,8,414.803224040901
20000,1,0.7,9,413.981689469087
20000,1,0.7,10,412.195862104844
20000,1,0.7,11,400.421628674736
20000,1,0.7,12,386.15840379703
20000,1,0.7,13,388.606780975368
20000,1,0.7,14,383.253125035072
20000,1,0.7,15,380.989836791032
20000,1,0.7,16,351.568841804613
20000,1,0.7,17,336.666015391423
20000,1,0.7,18,329.756046992652
20000,1,0.7,19,303.057115580944
20000,1,0.7,20,292.222905455909
20000,1,0.7,21,263.442948563986
20000,1,0.7,22,253.872361805594
20000,1,0.7,23,224.380079186428
20000,1,0.7,24,213.900031970099
20000,1,0.7,25,222.162903263393
20000,1,0.7,26,174.103768957838
20000,1,0.7,27,201.219176031206
20000,1,0.7,28,186.129571368629
20000,1,0.7,29,180.372663123667
20000,1,0.7,30,188.025616409506
20000,1,0.7,31,171.415876740004
20000,1,0.7,32,176.110384099737
20000,1,0.7,33,180.069055959716
20000,1,0.7,34,173.811399306758
20000,1,0.7,35,165.609603861611
20000,1,0.7,36,156.431093541416
20000,1,0.7,37,167.838259193526
20000,1,0.7,38,147.050814024298
20000,1,0.7,39,158.552648465983
20000,1,0.7,40,166.954395319333
20000,1,0.7,41,159.410950231076
20000,1,0.7,42,157.987486192904
20000,1,0.7,43,157.480597714342
20000,1,0.7,44,157.171663621833
20000,1,0.7,45,154.677155009644
20000,1,0.7,46,151.808469415198
20000,1,0.7,47,158.465829211933
20000,1,0.7,48,148.676703337751
20000,1,0.7,49,152.563731932045
20000,1,0.7,50,152.254084580283
20000,1,0.7,51,158.105022493022
20000,1,0.7,52,158.880180488237
20000,1,0.7,53,154.013136544833
20000,1,0.7,54,151.957134476549
20000,1,0.7,55,150.8353240394
20000,1,0.7,56,160.002771496655
20000,1,0.7,57,153.096677261917
20000,1,0.7,58,154.390275003306
20000,1,0.7,59,146.234340364488
20000,1,0.7,60,152.080928581158
20000,1,0.7,61,152.590219846652
20000,1,0.7,62,155.090505027836
20000,1,0.7,63,145.803458849338
20000,1,0.7,64,159.262699495827
20000,1,0.7,65,145.980350086056
20000,1,0.7,66,157.830466070064
20000,1,0.7,67,160.183132001149
20000,1,0.7,68,151.520977999673
20000,1,0.7,69,156.07940729316
20000,1,0.7,70,155.101889834908
20000,1,0.7,71,150.595210006171
20000,1,0.7,72,157.148622548449
20000,1,0.7,73,149.788889012561
20000,1,0.7,74,160.694471699743
20000,1,0.7,75,153.681583514611
20000,1,0.7,76,152.100756919097
20000,1,0.7,77,158.002411055903
20000,1,0.7,78,152.700752499973
20000,1,0.7,79,147.66863078459
20000,1,0.7,80,152.135596289285
20000,1,0.7,81,146.922693594411
20000,1,0.7,82,155.345188003576
20000,1,0.7,83,154.423507369857
20000,1,0.7,84,158.303469492157
20000,1,0.7,85,150.540099497608
20000,1,0.7,86,153.073019151378
20000,1,0.7,87,161.065016118322
20000,1,0.7,88,146.93540946482
20000,1,0.7,89,164.51749279051
20000,1,0.7,90,144.784913933551
20000,1,0.7,91,157.520472670999
20000,1,0.7,92,147.161201195241
20000,1,0.7,93,164.011392478116
20000,1,0.7,94,152.66951389047
20000,1,0.7,95,162.935539406465
20000,1,0.7,96,146.878520277066
20000,1,0.7,97,163.016290731029
20000,1,0.7,98,156.567512021638
20000,1,0.7,99,153.412708652562
20000,1,0.7,100,148.067855371288
