iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,0.8,20,517.117075343447,517.117075343447,0,1
1,1,0.8,20,483.296693788154,483.296693788154,0,1
1,1,0.8,20,523.614036880679,523.614036880679,0,1
1,2,0.8,20,469.063863292,469.063863292,0,1
1,2,0.8,20,437.881540506515,437.881540506515,0,1
1,2,0.8,20,504.6785933412,504.6785933412,0,1
1,3,0.8,20,491.078553660212,491.078553660212,0,1
1,3,0.8,20,452.545675181134,452.545675181134,0,1
1,3,0.8,20,497.363224001082,497.363224001082,0,1
1,4,0.8,20,480.73988699296,480.73988699296,0,1
1,4,0.8,20,511.267015875845,511.267015875845,0,1
1,4,0.8,20,506.770088706027,506.770088706027,0,1
1,5,0.8,20,489.091716010722,489.091716010722,0,1
1,5,0.8,20,459.634075720829,459.634075720829,0,1
1,5,0.8,20,500.9561883935,500.9561883935,0,1
1,6,0.8,20,497.59745117798,497.59745117798,0,1
1,6,0.8,20,473.175757401413,473.175757401413,0,1
1,6,0.8,20,514.686600489208,514.686600489208,0,1
1,7,0.8,20,506.223755180332,506.223755180332,0,1
1,7,0.8,20,479.623595817652,479.623595817652,0,1
1,7,0.8,20,480.662853145944,480.662853145944,0,1
1,8,0.8,20,510.315856674037,510.315856674037,0,1
1,8,0.8,20,491.788493157079,491.788493157079,0,1
1,8,0.8,20,518.605046396529,518.605046396529,0,1
1,9,0.8,20,495.568372003981,495.568372003981,0,1
1,9,0.8,20,500.736989142683,500.736989142683,0,1
1,9,0.8,20,503.666477492706,503.666477492706,0,1
1,10,0.8,20,494.898252414119,494.898252414119,0,1
1,10,0.8,20,512.088388985532,512.088388985532,0,1
1,10,0.8,20,513.412629726306,513.412629726306,0,1
1,11,0.8,20,469.205338664835,469.205338664835,0,1
1,11,0.8,20,519.263000448003,519.263000448003,0,1
1,11,0.8,20,471.702987037778,471.702987037778,0,1
1,12,0.8,20,493.08427504435,493.08427504435,0,1
1,12,0.8,20,518.030300519143,518.030300519143,0,1
1,12,0.8,20,504.304600395417,504.304600395417,0,1
1,13,0.8,20,516.218622604988,516.218622604988,0,1
1,13,0.8,20,515.757286547016,515.757286547016,0,1
1,13,0.8,20,453.187835033416,453.187835033416,0,1
1,14,0.8,20,504.478189182014,504.478189182014,0,1
1,14,0.8,20,488.930788725279,488.930788725279,0,1
1,14,0.8,20,515.998938198019,515.998938198019,0,1
1,15,0.8,20,447.221494356017,447.221494356017,0,1
1,15,0.8,20,487.858315917127,487.858315917127,0,1
