iteration,sigma,rho,Q,bestLength
1000,1,0,0,426.755586970774
1000,1,0.01,0,414.592748604438
1000,1,0.02,0,431.735201537793
1000,1,0.03,0,412.101357375214
1000,1,0.04,0,397.33403961508
1000,1,0.05,0,441.245848012003
1000,1,0.06,0,402.428969064058
1000,1,0.07,0,444.834047330823
1000,1,0.08,0,430.801323582862
1000,1,0.09,0,438.393204557803
1000,1,0.1,0,431.347444359498
1000,1,0.11,0,428.663927606594
1000,1,0.12,0,441.183157428381
1000,1,0.13,0,449.885382702717
1000,1,0.14,0,422.096290161946
1000,1,0.15,0,443.401651308504
1000,1,0.16,0,428.516118525836
1000,1,0.17,0,450.235242064925
1000,1,0.18,0,433.578173217079
1000,1,0.19,0,431.643579653288
1000,1,0.2,0,379.900985636288
1000,1,0.21,0,432.288850137276
1000,1,0.22,0,427.446314598446
1000,1,0.23,0,440.090078036994
1000,1,0.24,0,420.732265928326
1000,1,0.25,0,434.362250282166
1000,1,0.26,0,432.507866997428
1000,1,0.27,0,432.57707468969
1000,1,0.28,0,429.167632034138
1000,1,0.29,0,429.360536355761
1000,1,0.3,0,422.162473844055
1000,1,0.31,0,443.670352914074
1000,1,0.32,0,446.017661598399
1000,1,0.33,0,434.031659190636
1000,1,0.34,0,404.510681296825
1000,1,0.35,0,439.459025335393
1000,1,0.36,0,434.051474062483
1000,1,0.37,0,448.408763982483
1000,1,0.38,0,450.477126724945
1000,1,0.39,0,398.241094571474
1000,1,0.4,0,439.836063275975
1000,1,0.41,0,425.191985946939
1000,1,0.42,0,436.31141158311
1000,1,0.43,0,424.805373479832
1000,1,0.44,0,436.763319055654
1000,1,0.45,0,424.030350200034
1000,1,0.46,0,432.796850540364
1000,1,0.47,0,446.146297041353
1000,1,0.48,0,445.952554019297
1000,1,0.49,0,406.94117913259
1000,1,0.5,0,428.874798665338
1000,1,0.51,0,414.692666946616
1000,1,0.52,0,424.793800330899
1000,1,0.53,0,433.661636588766
1000,1,0.54,0,396.167783360605
1000,1,0.55,0,428.80591436147
1000,1,0.56,0,439.63781532373
1000,1,0.57,0,408.381570465466
1000,1,0.58,0,425.480646980845
1000,1,0.59,0,410.113975482563
1000,1,0.6,0,439.542715861524
1000,1,0.61,0,427.174869908423
1000,1,0.62,0,426.058367251522
1000,1,0.63,0,440.51496676181
1000,1,0.64,0,436.279431709817
1000,1,0.65,0,443.832425235491
1000,1,0.66,0,453.949817778212
1000,1,0.67,0,443.732163832815
1000,1,0.68,0,429.101007445418
1000,1,0.69,0,410.912356197595
1000,1,0.7,0,438.765227576313
1000,1,0.71,0,428.539872187262
1000,1,0.72,0,414.521283891386
1000,1,0.73,0,418.155054301515
1000,1,0.74,0,419.29790730827
1000,1,0.75,0,434.845406141059
1000,1,0.76,0,454.860876504883
1000,1,0.77,0,424.552432200139
1000,1,0.78,0,416.599238361907
1000,1,0.79,0,404.37108789099
1000,1,0.8,0,446.287510996393
1000,1,0.81,0,431.06423764152
1000,1,0.82,0,427.477809478669
1000,1,0.83,0,422.716793613374
1000,1,0.84,0,429.130968961059
1000,1,0.85,0,429.660616797549
1000,1,0.86,0,439.678975543984
1000,1,0.87,0,430.805222779759
1000,1,0.88,0,433.310471219084
1000,1,0.89,0,441.953132999838
