iteration,sigma,rho,Q,bestLength
100,1,0,0,421.265345811844
100,20,0,0,437.469445228577
100,1,0.01,0,436.882061988115
100,20,0.01,0,446.02042901516
100,1,0.02,0,423.600544512272
100,20,0.02,0,424.355824410915
100,1,0.03,0,426.860073924065
100,20,0.03,0,438.132723927498
100,1,0.04,0,430.591333508492
100,20,0.04,0,417.133902549744
100,1,0.05,0,446.106412053108
100,20,0.05,0,438.694886088371
100,1,0.06,0,428.764172613621
100,20,0.06,0,423.929618149996
100,1,0.07,0,436.498629212379
100,20,0.07,0,434.819686532021
100,1,0.08,0,437.127220630646
100,20,0.08,0,430.493332028389
100,1,0.09,0,435.322637289763
100,20,0.09,0,430.131837040186
100,1,0.1,0,431.59408390522
100,20,0.1,0,426.903760194778
100,1,0.11,0,434.466808438301
100,20,0.11,0,433.891936302185
100,1,0.12,0,427.499463200569
100,20,0.12,0,428.358642220497
100,1,0.13,0,426.304617643356
100,20,0.13,0,411.607564091682
100,1,0.14,0,425.364985346794
100,20,0.14,0,452.766309142113
100,1,0.15,0,436.192872881889
100,20,0.15,0,434.826780676842
100,1,0.16,0,426.742281079292
100,20,0.16,0,417.073498725891
100,1,0.17,0,453.361643910408
100,20,0.17,0,449.506128549576
100,1,0.18,0,448.96276974678
100,20,0.18,0,442.831913471222
100,1,0.19,0,446.261539578438
100,20,0.19,0,424.486092805862
100,1,0.2,0,432.941704034805
100,20,0.2,0,457.304804086685
100,1,0.21,0,442.453045964241
100,20,0.21,0,424.269089579582
100,1,0.22,0,427.838979840279
100,20,0.22,0,419.608459770679
100,1,0.23,0,419.382566452026
100,20,0.23,0,402.800042271614
100,1,0.24,0,437.307069897652
100,20,0.24,0,422.636234998703
100,1,0.25,0,404.319805026054
100,20,0.25,0,405.604354381561
100,1,0.26,0,429.499945282936
100,20,0.26,0,425.997759342194
100,1,0.27,0,431.533165216446
100,20,0.27,0,435.254135727882
100,1,0.28,0,428.484627008438
100,20,0.28,0,445.954711318016
100,1,0.29,0,433.918185591698
100,20,0.29,0,453.83085668087
100,1,0.3,0,397.671884477139
100,20,0.3,0,420.852939486504
100,1,0.31,0,441.270872652531
100,20,0.31,0,420.256398916245
100,1,0.32,0,448.490445554256
100,20,0.32,0,440.605171829462
100,1,0.33,0,430.804812312126
100,20,0.33,0,422.515312969685
100,1,0.34,0,435.557731628418
100,20,0.34,0,441.789025187492
100,1,0.35,0,426.644396424294
100,20,0.35,0,440.074035406113
100,1,0.36,0,445.310304880142
100,20,0.36,0,438.785353809595
100,1,0.37,0,428.189665079117
100,20,0.37,0,447.095538854599
100,1,0.38,0,433.154120445251
100,20,0.38,0,430.116066813469
100,1,0.39,0,405.829327940941
100,20,0.39,0,433.087617188692
100,1,0.4,0,449.224282264709
100,20,0.4,0,425.345644831657
100,1,0.41,0,426.932999610901
100,20,0.41,0,438.175044059753
100,1,0.42,0,442.90927413106
100,20,0.42,0,399.379907488823
100,1,0.43,0,433.610317707062
100,20,0.43,0,412.737599253654
100,1,0.44,0,413.558360338211
100,20,0.44,0,423.508509755135
100,1,0.45,0,433.219194293022
100,20,0.45,0,419.436002016068
100,1,0.46,0,430.387444734573
100,20,0.46,0,450.119944691658
100,1,0.47,0,456.583336234093
100,20,0.47,0,423.755232870579
100,1,0.48,0,403.997880220413
100,20,0.48,0,431.435517668724
100,1,0.49,0,410.99941265583
100,20,0.49,0,458.360883027315
100,1,0.5,0,439.192970514297
100,20,0.5,0,412.476478397846
100,1,0.51,0,441.913034677505
100,20,0.51,0,414.529356837273
100,1,0.52,0,434.17869964242
100,20,0.52,0,423.600727558136
100,1,0.53,0,427.452438592911
100,20,0.53,0,437.190075516701
100,1,0.54,0,425.961691975594
100,20,0.54,0,426.698291242123
100,1,0.55,0,442.65624833107
100,20,0.55,0,431.73665368557
100,1,0.56,0,440.141788393259
100,20,0.56,0,410.884238362312
100,1,0.57,0,411.879075318575
100,20,0.57,0,436.570194542408
100,1,0.58,0,431.051175355911
100,20,0.58,0,441.579267978668
