iteration,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1,0.8,20,490.010289346519,490.010289346519,0,1
1,1,0.8,20,512.720396860042,512.720396860042,0,1
1,1,0.8,20,513.787188464284,513.787188464284,0,1
1,1,0.8,20,489.894743431363,489.894743431363,0,1
1,1,0.8,20,493.681803281791,493.681803281791,0,1
1,1,0.8,20,490.014880347231,490.014880347231,0,1
1,1,0.8,20,493.170758321799,493.170758321799,0,1
1,1,0.8,20,498.175586912379,498.175586912379,0,1
1,1,0.8,20,482.158090151428,482.158090151428,0,1
1,1,0.8,20,514.603083237863,514.603083237863,0,1
1,1,0.8,20,488.636723077885,488.636723077885,0,1
1,1,0.8,20,457.603953472679,457.603953472679,0,1
1,1,0.8,20,503.764660943434,503.764660943434,0,1
1,1,0.8,20,504.978635686291,504.978635686291,0,1
1,1,0.8,20,512.327958041536,512.327958041536,0,1
1,1,0.8,20,507.512983403167,507.512983403167,0,1
1,1,0.8,20,480.311549858828,480.311549858828,0,1
1,1,0.8,20,498.650073099193,498.650073099193,0,1
1,1,0.8,20,512.170109398883,512.170109398883,0,1
1,1,0.8,20,531.835226261636,531.835226261636,0,1
1,2,0.8,20,488.270425082218,488.270425082218,0,1
1,2,0.8,20,489.475170723252,489.475170723252,0,1
1,2,0.8,20,497.707856244897,497.707856244897,0,1
1,2,0.8,20,522.942710039677,522.942710039677,0,1
1,2,0.8,20,541.26814065362,541.26814065362,0,1
1,2,0.8,20,468.205109573522,468.205109573522,0,1
1,2,0.8,20,503.858464030274,503.858464030274,0,1
1,2,0.8,20,495.643094694697,495.643094694697,0,1
1,2,0.8,20,470.097430163339,470.097430163339,0,1
1,2,0.8,20,478.569366678693,478.569366678693,0,1
1,2,0.8,20,477.381784290393,477.381784290393,0,1
1,2,0.8,20,481.699705142766,481.699705142766,0,1
1,2,0.8,20,515.934182314198,515.934182314198,0,1
1,2,0.8,20,497.455025148334,497.455025148334,0,1
1,2,0.8,20,488.495385867802,488.495385867802,0,1
1,2,0.8,20,497.116145989337,497.116145989337,0,1
1,2,0.8,20,512.100935660692,512.100935660692,0,1
1,2,0.8,20,491.214843453829,491.214843453829,0,1
1,2,0.8,20,491.820934886683,491.820934886683,0,1
1,2,0.8,20,463.869657603239,463.869657603239,0,1
1,5,0.8,20,515.499025848967,515.499025848967,0,1
1,5,0.8,20,517.398852156655,517.398852156655,0,1
1,5,0.8,20,482.05945771823,482.05945771823,0,1
1,5,0.8,20,442.917966325192,442.917966325192,0,1
1,5,0.8,20,501.390319519197,501.390319519197,0,1
1,5,0.8,20,463.473742441169,463.473742441169,0,1
1,5,0.8,20,485.661436661682,485.661436661682,0,1
1,5,0.8,20,483.516586960698,483.516586960698,0,1
1,5,0.8,20,514.221573499134,514.221573499134,0,1
1,5,0.8,20,470.438130761983,470.438130761983,0,1
1,5,0.8,20,505.851637536531,505.851637536531,0,1
1,5,0.8,20,496.197442800355,496.197442800355,0,1
1,5,0.8,20,482.387730058472,482.387730058472,0,1
1,5,0.8,20,484.832939611973,484.832939611973,0,1
1,5,0.8,20,483.276362724001,483.276362724001,0,1
1,5,0.8,20,506.774578288358,506.774578288358,0,1
1,5,0.8,20,484.097404892465,484.097404892465,0,1
1,5,0.8,20,495.43440293933,495.43440293933,0,1
1,5,0.8,20,504.066321102227,504.066321102227,0,1
1,5,0.8,20,489.281811349565,489.281811349565,0,1
1,20,0.8,20,486.27056304723,486.27056304723,0,1
1,20,0.8,20,495.745939571479,495.745939571479,0,1
