iteration,sigma,rho,Q,bestLength
1000,1,0.7,0,416.038761212297
1000,1,0.7,1,408.705952227433
1000,1,0.7,2,413.91845361577
1000,1,0.7,3,409.973250592655
1000,1,0.7,4,401.017412437446
1000,1,0.7,5,413.176850599796
1000,1,0.7,6,405.320889667787
1000,1,0.7,7,416.412105972112
1000,1,0.7,8,395.171702114048
1000,1,0.7,9,413.742766178404
1000,1,0.7,10,402.963721274597
1000,1,0.7,11,403.140603105919
1000,1,0.7,12,416.541773041834
1000,1,0.7,13,394.726617137219
1000,1,0.7,14,391.954129862566
1000,1,0.7,15,393.092461642337
1000,1,0.7,16,379.379330221454
1000,1,0.7,17,360.493495355397
1000,1,0.7,18,335.9012216587
1000,1,0.7,19,303.560445042649
1000,1,0.7,20,286.108820151117
1000,1,0.7,21,255.891331356059
1000,1,0.7,22,222.061973409047
1000,1,0.7,23,230.984511628012
1000,1,0.7,24,207.539322141355
1000,1,0.7,25,180.070965242703
1000,1,0.7,26,185.339687626421
1000,1,0.7,27,165.738468634962
1000,1,0.7,28,155.334314688123
1000,1,0.7,29,156.157456833299
1000,1,0.7,30,148.844922838833
1000,1,0.7,31,155.493405142833
1000,1,0.7,32,133.701683751699
1000,1,0.7,33,136.451446193991
1000,1,0.7,34,133.55831589941
1000,1,0.7,35,141.299909699648
1000,1,0.7,36,135.458010735348
1000,1,0.7,37,131.247646139641
1000,1,0.7,38,139.011490029886
1000,1,0.7,39,135.842584649134
1000,1,0.7,40,132.65584562039
1000,1,0.7,41,133.264167159247
1000,1,0.7,42,130.804701948908
1000,1,0.7,43,142.444143965796
1000,1,0.7,44,138.786797182262
1000,1,0.7,45,134.998774858145
1000,1,0.7,46,135.496540879296
1000,1,0.7,47,140.928241354685
1000,1,0.7,48,132.873535031512
1000,1,0.7,49,133.272037763337
1000,1,0.7,50,138.926622210629
1000,1,0.7,51,140.7634306923
1000,1,0.7,52,135.253344069929
1000,1,0.7,53,142.5217974755
1000,1,0.7,54,153.127150599496
1000,1,0.7,55,141.06826730763
1000,1,0.7,56,133.67901492299
1000,1,0.7,57,140.375002782299
1000,1,0.7,58,140.684140474811
1000,1,0.7,59,146.011499687101
1000,1,0.7,60,142.515995624285
1000,1,0.7,61,133.99894623556
1000,1,0.7,62,142.816228013435
1000,1,0.7,63,146.785230432805
1000,1,0.7,64,148.07238276441
1000,1,0.7,65,140.680972769833
1000,1,0.7,66,145.598383261814
1000,1,0.7,67,139.704837411724
1000,1,0.7,68,143.446295187554
1000,1,0.7,69,146.551590075018
1000,1,0.7,70,156.616054121017
1000,1,0.7,71,143.0885613215
1000,1,0.7,72,152.786883355193
1000,1,0.7,73,148.193222282134
1000,1,0.7,74,142.178303976837
1000,1,0.7,75,141.790089857691
1000,1,0.7,76,151.876654505427
1000,1,0.7,77,156.069612270404
1000,1,0.7,78,142.521922348061
1000,1,0.7,79,151.085750081243
1000,1,0.7,80,143.969293100018
1000,1,0.7,81,148.860695135003
1000,1,0.7,82,152.040285577896
1000,1,0.7,83,147.812553385651
1000,1,0.7,84,146.952705145717
1000,1,0.7,85,156.582837601517
1000,1,0.7,86,138.087647714408
1000,1,0.7,87,141.359245146751
1000,1,0.7,88,145.545462081443
1000,1,0.7,89,158.519626361827
1000,1,0.7,90,148.993372003769
1000,1,0.7,91,159.102074940102
1000,1,0.7,92,154.258812623674
1000,1,0.7,93,167.271013177588
1000,1,0.7,94,166.126026741278
1000,1,0.7,95,166.35866705553
1000,1,0.7,96,162.671158849729
1000,1,0.7,97,154.508821854499
1000,1,0.7,98,154.182841456058
1000,1,0.7,99,154.643205202394
1000,1,0.7,100,149.935724150022
