iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,496.852475881577,496.852475881577,0,0,1,2,0.7,50,1,20,48,0.000542612314673015,47.0210526315789,35.7036415511413
1,438.202453732491,438.202453732491,0,0,1,2,0.7,50,1,20,48,0.000949410500204796,45.0368421052632,39.8231749780114
2,412.598390877247,412.598390877247,0,0,1,2,0.7,50,1,20,48,0.00157620540229826,42.7105263157895,41.3098038202489
3,343.905843555927,343.905843555927,0,0,1,2,0.7,50,1,20,48,0.00305975886067795,41.321052631579,43.5130549451263
4,315.049310982227,315.049310982227,0,0,1,2,0.7,50,1,20,48,0.00406557464397003,39.2105263157895,32.6212598458809
5,293.202873289585,293.202873289585,0,0,1,2,0.7,50,1,20,48,0.00529884944918263,37.2210526315789,28.376064435676
6,313.482431828976,293.202873289585,0,0,1,2,0.7,50,1,20,48,0.0052593953713097,36.4368421052632,27.6505338284469
7,286.349297225475,286.349297225475,0,0,1,2,0.7,50,1,20,48,0.00633787759255288,36.0210526315789,29.0966519279449
8,282.631322920322,282.631322920322,0,0,1,2,0.7,50,1,20,48,0.00700037314803129,35.4052631578947,24.6401284466538
9,296.946182906628,282.631322920322,0,0,1,2,0.7,50,1,20,48,0.00616155204791061,35.8421052631579,24.5998462388537
10,298.618327081203,282.631322920322,0,0,1,2,0.7,50,1,20,48,0.00647220314671396,35.3157894736842,25.4697642505929
11,288.227475762367,282.631322920322,0,0,1,2,0.7,50,1,20,48,0.00569697880157722,35.5473684210526,22.8674904527103
12,263.939850926399,263.939850926399,0,0,1,2,0.7,50,1,20,48,0.00624354127716792,35.6578947368421,33.7405128775532
13,254.712808668613,254.712808668613,0,0,1,2,0.7,50,1,20,48,0.00704313889999391,35.1894736842105,36.3978956338576
14,248.60003465414,248.60003465414,0,0,1,2,0.7,50,1,20,48,0.00930526651867847,33.4578947368421,30.1109657749168
15,211.357978403568,211.357978403568,0,0,1,2,0.7,50,1,20,48,0.0121445924372675,32.8684210526316,25.5836937048307
16,222.032439410686,211.357978403568,0,0,1,2,0.7,50,1,20,48,0.0122350286693047,32.4,28.9566841107162
