iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,528.888203114271,471.255864739418,0,0,1,2,0.7,50,20,20,48,0.00057233856586651,47.0578947368421,33.8311115575083
1,434.973183333874,434.973183333874,0,0,1,2,0.7,50,20,20,48,0.104216050215051,45.5263157894737,33.9243624162861
2,431.328792989254,431.328792989254,0,0,1,2,0.7,50,20,20,48,0.259916762384687,30.1,11.2236907861973
3,387.170731961727,387.170731961727,0,0,1,2,0.7,50,20,20,48,1.01749786162608,29.6263157894737,21.1469819460009
4,392.600228965282,387.170731961727,0,0,1,2,0.7,50,20,20,48,0.0131957933003098,30.2421052631579,18.166371659095
5,359.334850251675,359.334850251675,0,0,1,2,0.7,50,20,20,48,1.45068583456812,33.4736842105263,23.8425118328372
6,335.145927846432,335.145927846432,0,0,1,2,0.7,50,20,20,48,0.491686394787036,32.1368421052632,23.0306393173073
7,319.141475379467,319.141475379467,0,0,1,2,0.7,50,20,20,48,0.979328203731052,29.6789473684211,14.4140233630899
8,312.042998611927,312.042998611927,0,0,1,2,0.7,50,20,20,48,0.928795506768399,29.8842105263158,17.7851366684662
9,312.872871220112,312.042998611927,0,0,1,2,0.7,50,20,20,48,0.0547473827222537,27.3105263157895,17.9784926759186
10,293.490417540073,293.490417540073,0,0,1,2,0.7,50,20,20,48,1.64852963230207,26.5263157894737,17.2023027857733
11,290.695724666119,290.695724666119,0,0,1,2,0.7,50,20,20,48,0.0100580683990534,27.8684210526316,13.9037732749727
12,290.551698982716,290.551698982716,0,0,1,2,0.7,50,20,20,48,0.0068796875578342,31.5473684210526,23.3221409113354
13,288.47733682394,288.47733682394,0,0,1,2,0.7,50,20,20,48,0.0363839779908539,34.2157894736842,25.5097061241602
14,273.092768490314,273.092768490314,0,0,1,2,0.7,50,20,20,48,1.70904872988828,28.6736842105263,17.7213362759288
15,261.593083679676,261.593083679676,0,0,1,2,0.7,50,20,20,48,0.42978153444242,28.3526315789474,11.1305680349792
16,266.263879597187,261.593083679676,0,0,1,2,0.7,50,20,20,48,0.0200970881165774,25.9421052631579,11.7420310990916
17,268.484269201756,261.593083679676,0,0,1,2,0.7,50,20,20,48,0.210018297688481,30.0684210526316,23.0460320007889
18,262.590306341648,261.593083679676,0,0,1,2,0.7,50,20,20,48,0.7157058564894,23.9473684210526,17.4914292379187
19,263.479572355747,261.593083679676,0,0,1,2,0.7,50,20,20,48,1.46362935550093,24.4263157894737,18.8726547668284
20,255.367840349674,255.367840349674,0,0,1,2,0.7,50,20,20,48,3.12692655306857,25.8473684210526,7.99340260909418
21,256.182947695255,255.367840349674,0,0,1,2,0.7,50,20,20,48,3.08331432812375,23.2368421052632,11.2808120172765
22,260.718964159489,255.367840349674,0,0,1,2,0.7,50,20,20,48,7.03522870471243,24.7473684210526,0
23,258.932891428471,255.367840349674,0,0,1,2,0.7,50,20,20,48,7.18853383086632,25.4894736842105,0
24,266.683703958988,255.367840349674,0,0,1,2,0.7,50,20,20,48,7.03650213850015,21.7789473684211,0
25,253.205221235752,253.205221235752,0,0,1,2,0.7,50,20,20,48,7.06827014772932,24.7473684210526,0
26,253.428288042545,253.205221235752,0,0,1,2,0.7,50,20,20,48,7.07336511910766,25.4894736842105,0
27,266.683703958988,253.205221235752,0,0,1,2,0.7,50,20,20,48,7.10778471695195,25.4894736842105,0
28,257.216392099857,253.205221235752,0,0,1,2,0.7,50,20,20,48,7.1317914809023,24.7473684210526,0
29,252.295153200626,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.13173797084914,25.7368421052632,0
30,252.295153200626,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.12046654191221,25.3157894736842,6.74832858204395
31,256.236759722233,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.00905940159024,24.7473684210526,0
32,258.880224764347,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.13273885776444,25.7368421052632,0
33,260.374978601933,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.12643992919535,19.5526315789474,0
34,261.469434320927,252.295153200626,0,0,1,2,0.7,50,20,20,48,7.09481865222639,21.7789473684211,0
35,249.672123968601,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.03842211781064,25.4894736842105,0
36,258.932891428471,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.09641652825602,23.5105263157895,0
37,256.223844110966,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.16761459271407,25.4894736842105,0
38,259.976787149906,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.18171777595643,21.7789473684211,0
39,261.469434320927,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.00825173836323,25.4894736842105,0
40,266.683703958988,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.06596850812202,21.7789473684211,0
41,253.820728361607,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.16469104605297,24.7473684210526,0
42,258.932891428471,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.12173361683235,16.8315789473684,0
43,256.9429641366,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.06173408621519,25.4894736842105,0
44,253.946993887424,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.04447367360269,23.5105263157895,0
45,251.355300962925,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.01881056861163,19.5526315789474,0
46,255.821448862553,249.672123968601,0,0,1,2,0.7,50,20,20,48,6.96669155611768,24.7473684210526,0
47,256.9429641366,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.12888588394633,16.8315789473684,0
48,253.77367836237,249.672123968601,0,0,1,2,0.7,50,20,20,48,5.25407977182243,17.3052631578947,8.17283605064169
49,258.932891428471,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.17548503175194,25.6473684210526,9.25633246337307
50,270.59528118372,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.11515131805451,25.4894736842105,0
51,249.672123968601,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.1363509466814,25.4894736842105,0
52,257.216392099857,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.17261362524406,21.7789473684211,0
53,266.683703958988,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.22096404684555,25.4894736842105,0
54,249.672123968601,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.16813487337151,25.7368421052632,0
55,251.265045940876,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.07199890474279,23.5105263157895,0
56,264.694255411625,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.09428523505607,24.7473684210526,0
57,251.355300962925,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.10232840094549,25.7368421052632,0
58,268.037696421146,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.14074134689263,24.7473684210526,0
59,255.821448862553,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.06187626481806,25.4894736842105,0
60,253.428288042545,249.672123968601,0,0,1,2,0.7,50,20,20,48,6.74965969797431,22.1578947368421,8.89949056166479
61,251.265045940876,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.08229957948289,25.3421052631579,0.272535160182673
62,251.355300962925,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.10159793861726,13.6157894736842,0
63,257.216392099857,249.672123968601,0,0,1,2,0.7,50,20,20,48,7.08991745731597,25.7368421052632,0
64,249.310591876507,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.12872331468869,23.5105263157895,0
65,260.374978601933,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.12579245020656,24.7473684210526,0
66,254.666802465916,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.188724660443,21.7789473684211,0
67,260.835644304752,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.06039753109746,25.4894736842105,0
68,269.559852182865,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.00635755549691,25.4894736842105,0
69,268.037696421146,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.14986189621435,25.4894736842105,0
70,266.683703958988,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.23175329142972,25.4894736842105,0
71,258.307018816471,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.03852797759484,25.4894736842105,0
72,269.559852182865,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.06175558132806,23.5105263157895,0
73,255.787591516972,249.310591876507,0,0,1,2,0.7,50,20,20,48,5.78587462015944,16.0789473684211,4.52373200015774
74,255.532918989658,249.310591876507,0,0,1,2,0.7,50,20,20,48,4.47602001917079,25.4263157894737,5.60393259821979
75,254.666802465916,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.03539076545984,19.5526315789474,0
76,250.617276251316,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.15433854703187,25.4894736842105,0
77,258.880224764347,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.16215079991943,23.5105263157895,0
78,257.216392099857,249.310591876507,0,0,1,2,0.7,50,20,20,48,6.98916293863482,24.7473684210526,0
79,253.205221235752,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.13274810838555,25.4894736842105,0
80,258.932891428471,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.13757242649737,23.5105263157895,0
81,251.355300962925,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.1469063166238,25.4894736842105,0
82,254.666802465916,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.13718667076705,25.7368421052632,0
83,259.569131433964,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.09055876263727,21.7789473684211,0
84,260.229599535465,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.06106876331364,25.7368421052632,0
85,268.037696421146,249.310591876507,0,0,1,2,0.7,50,20,20,48,6.96342196631883,25.1578947368421,6.40377950305484
86,256.236759722233,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.12952566146513,24.7473684210526,0
87,256.223844110966,249.310591876507,0,0,1,2,0.7,50,20,20,48,3.27979791795624,26.1052631578947,10.5246613696579
88,255.581131517887,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.14475727655217,25.7368421052632,0
89,255.787591516972,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.14192702637633,23.5105263157895,0
90,270.59528118372,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.02638025482113,24.7473684210526,0
91,253.318593561649,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.1021480165557,21.7789473684211,0
92,268.037696421146,249.310591876507,0,0,1,2,0.7,50,20,20,48,7.18263613833406,25.4894736842105,0
