iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,496.840069174767,496.840069174767,0,0,1,2,0.7,50,20,20,48,0.000609948554266234,46.9210526315789,29.4129145658832
1,431.917022526264,431.917022526264,0,0,1,2,0.7,50,20,20,48,0.0770879550947767,44.9736842105263,44.2480399050555
2,368.326429188252,368.326429188252,0,0,1,2,0.7,50,20,20,48,0.432083723552116,35.8736842105263,28.7671494621721
3,342.016517579556,342.016517579556,0,0,1,2,0.7,50,20,20,48,0.0604297811608069,33.5684210526316,24.2737837970326
4,318.327458679676,318.327458679676,0,0,1,2,0.7,50,20,20,48,1.30053730992511,31.5473684210526,23.2545885404834
5,277.598609387875,277.598609387875,0,0,1,2,0.7,50,20,20,48,1.18078658244261,30.9684210526316,17.0310985730082
6,291.110848724842,277.598609387875,0,0,1,2,0.7,50,20,20,48,0.0704070061556399,31.4157894736842,16.0792235576251
7,259.250752985477,259.250752985477,0,0,1,2,0.7,50,20,20,48,0.0907228607761987,27.6157894736842,20.4315611724574
8,268.046274483204,259.250752985477,0,0,1,2,0.7,50,20,20,48,0.0128335288123267,29.0157894736842,29.9074688158906
9,253.524448931217,253.524448931217,0,0,1,2,0.7,50,20,20,48,0.00928331728501483,30.1210526315789,24.9444403096881
10,266.226550042629,253.524448931217,0,0,1,2,0.7,50,20,20,48,0.00833933314095296,31.7578947368421,22.4998139673439
11,277.076439797878,253.524448931217,0,0,1,2,0.7,50,20,20,48,0.008486869774602,31.1368421052632,25.7663180165398
12,268.596199095249,253.524448931217,0,0,1,2,0.7,50,20,20,48,0.0356983564771075,32.2473684210526,24.9557553585276
13,232.152276813984,232.152276813984,0,0,1,2,0.7,50,20,20,48,1.71945031779005,27.9894736842105,27.441222064459
14,244.035173237324,232.152276813984,0,0,1,2,0.7,50,20,20,48,0.0542319718594435,28.6947368421053,21.6037219885627
15,243.746288120747,232.152276813984,0,0,1,2,0.7,50,20,20,48,1.96262973002936,26.2789473684211,17.4853969437817
16,217.774068415165,217.774068415165,0,0,1,2,0.7,50,20,20,48,5.16377015955411,26.7947368421053,15.4040070868468
17,219.370147526264,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.028469501179508,25.4052631578947,7.93768990127311
18,229.409882128239,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.0170370399665592,29.1421052631579,27.9862115499239
19,224.692762434483,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.0150798161692761,30.4052631578947,35.5563927390355
20,233.60986238718,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.0137189423591711,29.2789473684211,22.8422692785331
21,241.122461378574,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.0124405071452873,30.3421052631579,23.3441643794244
22,229.476828634739,217.774068415165,0,0,1,2,0.7,50,20,20,48,0.0107174520496429,31.5157894736842,25.2983691546451
23,215.004698336124,215.004698336124,0,0,1,2,0.7,50,20,20,48,0.0376708851355964,32.3368421052632,30.6604401521107
24,224.45758754015,215.004698336124,0,0,1,2,0.7,50,20,20,48,0.36095209698489,27.5,20.6758963732521
