sigma,rho,Q,bestLength
1,0.65,30,333.692741632462
1,0.65,30,322.045339047909
1,0.7,30,291.226197212934
1,0.7,30,332.451736748219
1,0.7,30,274.514880865812
1,0.75,30,273.063249439001
1,0.75,30,289.896564930677
1,0.75,30,318.699764639139
1,0.8,30,214.4415602386
1,0.8,30,227.260280221701
1,0.8,30,246.250850319862
1,0.85,30,195.844339460135
1,0.85,30,166.545661538839
1,0.85,30,202.305473417044
1,0.9,30,187.412623107433
1,0.9,30,161.573364704847
1,0.9,30,214.282826602459
1,0.95,30,170.666025370359
1,0.95,30,168.409065693617
1,0.95,30,195.657732397318
1,0.05,35,440.423766791821
1,0.05,35,418.89831751585
1,0.05,35,438.294719338417
1,0.1,35,420.642745882273
1,0.1,35,443.909926533699
1,0.1,35,406.209894299507
1,0.15,35,438.568022400141
1,0.15,35,424.760269880295
1,0.15,35,408.556442141533
1,0.2,35,366.043038964272
1,0.2,35,432.254773736
1,0.2,35,420.704571604729
1,0.25,35,395.30007866025
1,0.25,35,368.91509270668
1,0.25,35,451.958903551102
1,0.3,35,442.013095200062
1,0.3,35,422.670726299286
1,0.3,35,426.319588661194
1,0.35,35,428.102148652077
1,0.35,35,392.078261733055
1,0.35,35,416.180011034012
1,0.4,35,410.65996336937
1,0.4,35,391.486565113068
1,0.4,35,380.035787343979
1,0.45,35,369.245338261127
1,0.45,35,407.969172954559
1,0.45,35,399.690155923367
1,0.5,35,398.681259810925
1,0.5,35,315.167508751154
1,0.5,35,417.363482117653
1,0.55,35,373.412164896727
1,0.55,35,339.074556231499
1,0.55,35,337.536500900984
1,0.6,35,343.864758491516
1,0.6,35,377.085256099701
1,0.6,35,380.626077711582
1,0.65,35,299.162724375725
1,0.65,35,343.858614057302
1,0.65,35,351.127632290125
1,0.7,35,245.508901029825
1,0.7,35,265.347720116377
1,0.7,35,281.164814472198
1,0.75,35,259.973880827427
1,0.75,35,225.342532992363
1,0.75,35,228.201509714127
1,0.8,35,190.123447924852
1,0.8,35,206.659641951323
1,0.8,35,213.181498259306
1,0.85,35,202.655781000853
1,0.85,35,180.375569403172
1,0.85,35,198.315480053425
1,0.9,35,196.707070142031
1,0.9,35,202.47379437089
1,0.9,35,172.881913214922
1,0.95,35,198.516193985939
1,0.95,35,167.295950502157
1,0.95,35,221.72993478179
1,0.05,40,432.020643293858
1,0.05,40,391.614863693714
1,0.05,40,447.213583230972
1,0.1,40,426.732054322958
1,0.1,40,407.315302371979
1,0.1,40,422.815528154373
1,0.15,40,416.099146962166
1,0.15,40,458.754791975021
1,0.15,40,396.494615674019
1,0.2,40,431.412907242775
1,0.2,40,416.728435575962
1,0.2,40,434.670423477888
1,0.25,40,405.836782693863
1,0.25,40,446.332894325256
1,0.25,40,427.895128518343
1,0.3,40,433.425526678562
1,0.3,40,408.75820595026
1,0.3,40,396.7976090312
1,0.35,40,382.404814362526
1,0.35,40,397.361469447613
1,0.35,40,371.290238529444
1,0.4,40,410.090101540089
1,0.4,40,389.114721029997
1,0.4,40,380.408276706934
1,0.45,40,365.87430486083
1,0.45,40,403.965667128563
1,0.45,40,362.457422375679
1,0.5,40,357.059020042419
1,0.5,40,381.419277846813
1,0.5,40,399.780587136745
1,0.55,40,367.589153647423
1,0.55,40,360.065379202366
1,0.55,40,335.042712539434
1,0.6,40,260.817832201719
1,0.6,40,256.728456586599
1,0.6,40,313.159665346146
1,0.65,40,297.053061455488
1,0.65,40,329.259972393513
1,0.65,40,224.764543116093
1,0.7,40,266.206031918526
1,0.7,40,270.833040654659
1,0.7,40,268.018069654703
1,0.75,40,201.818581044674
1,0.75,40,207.772693037987
1,0.75,40,226.474283874035
1,0.8,40,180.71738666296
1,0.8,40,210.906107544899
1,0.8,40,194.45184263587
1,0.85,40,187.880288779736
1,0.85,40,176.327946096659
1,0.85,40,212.475593477488
1,0.9,40,202.49656483531
1,0.9,40,201.957775503397
1,0.9,40,191.328283816576
1,0.95,40,195.342563956976
1,0.95,40,181.775214523077
1,0.95,40,190.637604564428
1,0.05,45,383.615909934044
1,0.05,45,448.805940747261
1,0.05,45,438.927167773247
1,0.1,45,426.955421447754
1,0.1,45,425.944305717945
1,0.1,45,417.091014176607
1,0.15,45,373.351543545723
1,0.15,45,402.665229707956
1,0.15,45,415.764933735132
1,0.2,45,369.818095088005
1,0.2,45,406.248674631119
1,0.2,45,428.06973695755
1,0.25,45,388.92875212431
1,0.25,45,424.068387031555
1,0.25,45,373.542158007622
1,0.3,45,422.061069071293
1,0.3,45,407.722226858139
1,0.3,45,418.782541632652
1,0.35,45,372.018899828196
1,0.35,45,411.441508293152
1,0.35,45,381.478085041046
1,0.4,45,418.067909300327
1,0.4,45,379.547816485167
1,0.4,45,369.985300481319
1,0.45,45,384.249291211367
1,0.45,45,420.060166478157
1,0.45,45,309.212332904339
1,0.5,45,345.169664591551
1,0.5,45,391.645776867867
1,0.5,45,269.083551377058
1,0.55,45,313.297040045261
1,0.55,45,299.796669363976
1,0.55,45,304.813390225172
1,0.6,45,268.204234927893
1,0.6,45,298.506637632847
1,0.6,45,284.058049708605
1,0.65,45,273.670316785574
1,0.65,45,290.872453093529
1,0.65,45,264.911958515644
1,0.7,45,261.036823451519
1,0.7,45,278.502749502659
1,0.7,45,242.407782793045
1,0.75,45,221.391948670149
1,0.75,45,207.672739446163
1,0.75,45,228.767085373402
1,0.8,45,206.990003854036
1,0.8,45,226.070265591145
1,0.8,45,189.830406486988
1,0.85,45,196.352999418974
1,0.85,45,216.526922732592
1,0.85,45,189.215795576572
1,0.9,45,199.166986823082
1,0.9,45,201.969227045774
1,0.9,45,192.669850111008
1,0.95,45,173.620316654444
1,0.95,45,215.504222691059
1,0.95,45,180.274222880602
1,0.05,50,402.547914743423
1,0.05,50,413.826307654381
1,0.05,50,408.165568053722
1,0.1,50,422.906051039696
1,0.1,50,427.438757926226
1,0.1,50,423.749212861061
1,0.15,50,415.781059920788
1,0.15,50,371.67915314436
1,0.15,50,369.760093837976
1,0.2,50,422.608979940414
1,0.2,50,405.551420241594
1,0.2,50,401.043741941452
1,0.25,50,401.230905354023
1,0.25,50,411.033287853003
1,0.25,50,394.714634656906
1,0.3,50,393.089983403683
1,0.3,50,392.464066296816
1,0.3,50,394.574031054974
1,0.35,50,371.388363689184
1,0.35,50,352.146917819977
1,0.35,50,375.075221270323
1,0.4,50,354.585778594017
1,0.4,50,383.876643419266
1,0.4,50,375.056502997875
1,0.45,50,307.886956125498
1,0.45,50,365.485188215971
1,0.45,50,373.774347513914
1,0.5,50,378.683694779873
1,0.5,50,325.67342543602
1,0.5,50,308.427974581718
1,0.55,50,338.620204269886
1,0.55,50,338.21612405777
1,0.55,50,290.320585846901
1,0.6,50,285.165201485157
1,0.6,50,284.058633267879
1,0.6,50,327.123132944107
1,0.65,50,299.852229475975
1,0.65,50,245.089100301266
1,0.65,50,224.588591754436
1,0.7,50,210.335570752621
1,0.7,50,216.178626477718
1,0.7,50,262.729050248861
1,0.75,50,224.971560299397
1,0.75,50,248.849144101143
1,0.75,50,261.662350416183
1,0.8,50,195.628112971783
1,0.8,50,231.280545532703
1,0.8,50,225.201324671507
1,0.85,50,206.682464152575
1,0.85,50,217.188966959715
1,0.85,50,185.467718333006
1,0.9,50,204.88158544898
1,0.9,50,160.537714213133
1,0.9,50,207.104053139687
1,0.95,50,190.213862448931
1,0.95,50,192.86962017417
1,0.95,50,183.880532115698
1,0.05,55,395.096098899841
1,0.05,55,416.985506534576
1,0.05,55,417.582833647728
1,0.1,55,397.971223115921
1,0.1,55,395.01514840126
1,0.1,55,372.581149816513
1,0.15,55,374.765648543835
1,0.15,55,413.654272675514
1,0.15,55,401.258439064026
1,0.2,55,383.303923606873
1,0.2,55,419.419045358896
1,0.2,55,413.404344946146
1,0.25,55,384.14077886939
1,0.25,55,398.327762842178
1,0.25,55,397.332518368959
1,0.3,55,401.353880763054
1,0.3,55,422.626008629799
1,0.3,55,378.604517370462
1,0.35,55,417.314063310623
1,0.35,55,394.944559693336
1,0.35,55,371.605930358171
1,0.4,55,375.988070726395
1,0.4,55,401.507326692343
1,0.4,55,371.33235129714
1,0.45,55,347.656652927399
1,0.45,55,329.048513740301
1,0.45,55,329.370268136263
1,0.5,55,310.092758744955
1,0.5,55,278.534607410431
1,0.5,55,329.771421849728
1,0.55,55,316.202849954367
1,0.55,55,314.901440560818
1,0.55,55,277.572681248188
1,0.6,55,274.286911815405
1,0.6,55,304.932367652655
1,0.6,55,279.097568660975
1,0.65,55,255.977045834064
1,0.65,55,274.07143419981
1,0.65,55,264.092057406902
1,0.7,55,207.140361458063
1,0.7,55,235.803433269262
1,0.7,55,234.332500994205
1,0.75,55,200.96686604619
1,0.75,55,222.89569273591
1,0.75,55,229.361157357693
1,0.8,55,205.887106984854
1,0.8,55,222.797957271338
1,0.8,55,231.440829992294
1,0.85,55,220.015049934387
1,0.85,55,217.394640028477
1,0.85,55,203.185093849897
1,0.9,55,212.95588478446
1,0.9,55,189.792584568262
1,0.9,55,195.06799736619
1,0.95,55,190.56464895606
1,0.95,55,182.667388916016
1,0.95,55,203.013176590204
1,0.05,60,394.865769445896
1,0.05,60,409.209875077009
1,0.05,60,420.904053092003
1,0.1,60,384.711994558573
1,0.1,60,391.323221087456
1,0.1,60,380.444529891014
1,0.15,60,374.246168851852
1,0.15,60,391.079259365797
1,0.15,60,406.784126996994
1,0.2,60,397.062949061394
1,0.2,60,388.345972418785
1,0.2,60,380.311836957932
1,0.25,60,344.934896677732
1,0.25,60,358.353466242552
1,0.25,60,394.713732659817
1,0.3,60,427.151094377041
1,0.3,60,403.412762314081
1,0.3,60,379.771758913994
1,0.35,60,376.332723677158
1,0.35,60,385.945277035236
1,0.35,60,354.32592022419
1,0.4,60,371.45248606801
1,0.4,60,348.474040150642
1,0.4,60,360.591279059649
1,0.45,60,298.315073490143
1,0.45,60,347.38916143775
1,0.45,60,302.636213958263
1,0.5,60,330.815660595894
1,0.5,60,336.030272185802
1,0.5,60,321.686183601618
1,0.55,60,317.576091170311
1,0.55,60,225.601391643286
1,0.55,60,314.850343704224
1,0.6,60,294.081736981869
1,0.6,60,287.50704228878
1,0.6,60,275.440513342619
1,0.65,60,263.889146745205
1,0.65,60,266.695765286684
1,0.65,60,227.304610967636
1,0.7,60,238.89710226655
1,0.7,60,242.338246077299
1,0.7,60,198.370802491903
1,0.75,60,220.530309230089
1,0.75,60,232.402386248112
1,0.75,60,255.293239593506
1,0.8,60,194.641970068216
1,0.8,60,207.065766602755
1,0.8,60,222.255783051252
1,0.85,60,203.148727059364
1,0.85,60,216.341340780258
1,0.85,60,195.791958630085
1,0.9,60,226.934774905443
1,0.9,60,179.86554941535
1,0.9,60,181.739710301161
1,0.95,60,187.622875034809
1,0.95,60,183.430831581354
1,0.95,60,184.918899148703
1,0.05,65,405.855901479721
1,0.05,65,399.39043200016
1,0.05,65,392.919640779495
1,0.1,65,408.592053771019
1,0.1,65,421.211151719093
1,0.1,65,380.844178617001
1,0.15,65,420.492175221443
1,0.15,65,363.648117780685
1,0.15,65,390.518742114306
1,0.2,65,410.755154490471
1,0.2,65,379.545927286148
1,0.2,65,361.832558631897
1,0.25,65,367.400330483913
1,0.25,65,381.937358856201
1,0.25,65,385.673707306385
1,0.3,65,362.160331577063
1,0.3,65,378.881280660629
1,0.3,65,370.731292396784
1,0.35,65,392.654096901417
1,0.35,65,282.095702975988
1,0.35,65,389.406908303499
1,0.4,65,341.938740938902
1,0.4,65,358.877863436937
1,0.4,65,354.405527740717
1,0.45,65,349.290971785784
1,0.45,65,375.864243745804
1,0.45,65,347.866079509258
1,0.5,65,338.817198634148
1,0.5,65,325.385700792074
1,0.5,65,304.200111627579
1,0.55,65,310.810136526823
1,0.55,65,259.64028647542
1,0.55,65,297.645575791597
1,0.6,65,308.557546675205
1,0.6,65,263.649301946163
1,0.6,65,327.774814426899
1,0.65,65,226.040202438831
1,0.65,65,247.109854251146
1,0.65,65,290.84189888835
1,0.7,65,250.923156678677
1,0.7,65,221.603691697121
1,0.7,65,230.92917701602
1,0.75,65,194.228327065706
1,0.75,65,229.87248557806
1,0.75,65,228.826761633158
1,0.8,65,223.248787373304
1,0.8,65,195.523684620857
1,0.8,65,227.207304865122
1,0.85,65,213.311217993498
1,0.85,65,206.051383167505
1,0.85,65,224.420626848936
1,0.9,65,188.787315696478
1,0.9,65,201.816453367472
1,0.9,65,191.172960460186
1,0.95,65,179.111951053143
1,0.95,65,169.564076125622
1,0.95,65,183.58063736558
1,0.05,70,376.347146451473
1,0.05,70,383.312793016434
1,0.05,70,369.627747893333
1,0.1,70,423.668882727623
1,0.1,70,396.06513273716
1,0.1,70,391.69483423233
1,0.15,70,378.089726746082
1,0.15,70,397.32857632637
1,0.15,70,430.543270379305
1,0.2,70,399.524901509285
1,0.2,70,397.26368367672
1,0.2,70,373.444333106279
1,0.25,70,334.408948153257
1,0.25,70,393.174938082695
1,0.25,70,413.638327479362
1,0.3,70,362.099386841059
1,0.3,70,330.4207713902
1,0.3,70,363.819469213486
1,0.35,70,384.85613656044
1,0.35,70,378.08462870121
1,0.35,70,348.14427754283
1,0.4,70,307.791338503361
1,0.4,70,357.168964266777
1,0.4,70,275.66095879674
1,0.45,70,331.126623570919
1,0.45,70,321.788900911808
1,0.45,70,368.346601486206
1,0.5,70,299.586175203323
1,0.5,70,353.886319726706
1,0.5,70,300.452701032162
1,0.55,70,320.782545417547
1,0.55,70,292.393196284771
1,0.55,70,312.353663086891
1,0.6,70,290.010878175497
1,0.6,70,296.443355590105
1,0.6,70,282.78114464879
1,0.65,70,263.185168504715
1,0.65,70,272.075981676579
1,0.65,70,233.090989261866
1,0.7,70,256.075004816055
1,0.7,70,247.099348992109
1,0.7,70,249.106519818306
1,0.75,70,200.165460824966
1,0.75,70,218.278857439756
1,0.75,70,236.557328224182
1,0.8,70,223.656511247158
1,0.8,70,219.156636208296
1,0.8,70,252.535505026579
1,0.85,70,191.359443157911
1,0.85,70,201.867736160755
1,0.85,70,220.042301923037
1,0.9,70,201.000830680132
1,0.9,70,190.907326459885
1,0.9,70,200.704714685678
1,0.95,70,170.95519760251
1,0.95,70,182.659749180079
1,0.95,70,176.99711638689
1,0.05,75,406.403777837753
1,0.05,75,403.152140259743
1,0.05,75,342.592817306519
1,0.1,75,374.542232096195
1,0.1,75,404.758658885956
1,0.1,75,395.223762750626
1,0.15,75,361.933648347855
1,0.15,75,377.574091374874
1,0.15,75,398.791947960854
1,0.2,75,358.560013204813
1,0.2,75,395.65124630928
1,0.2,75,399.1999771595
1,0.25,75,382.780036866665
1,0.25,75,377.167442411184
1,0.25,75,411.544602513313
1,0.3,75,348.103069633245
1,0.3,75,356.000263690948
1,0.3,75,383.064644217491
1,0.35,75,349.282175809145
1,0.35,75,337.283679306507
1,0.35,75,377.079863786697
1,0.4,75,324.588939040899
1,0.4,75,327.104724615812
1,0.4,75,385.404686033726
1,0.45,75,326.122046500444
1,0.45,75,303.27505081892
1,0.45,75,315.149538785219
1,0.5,75,291.440932750702
1,0.5,75,325.629138499498
1,0.5,75,270.7621948421
1,0.55,75,258.986061662436
1,0.55,75,286.159592151642
1,0.55,75,261.645150214434
1,0.6,75,286.688434809446
1,0.6,75,289.751053541899
1,0.6,75,273.171969980001
1,0.65,75,252.537723004818
1,0.65,75,237.100742042065
1,0.65,75,236.930406779051
1,0.7,75,234.391745537519
1,0.7,75,206.275720506907
1,0.7,75,245.272829860449
1,0.75,75,230.941767662764
1,0.75,75,213.280218034983
1,0.75,75,228.617321103811
1,0.8,75,234.27533569932
1,0.8,75,227.092525541782
1,0.8,75,195.522256672382
1,0.85,75,254.806759476662
1,0.85,75,215.909091085196
1,0.85,75,221.717615038157
1,0.9,75,196.046629995108
1,0.9,75,195.920693129301
1,0.9,75,183.372696846724
1,0.95,75,192.690009176731
1,0.95,75,198.815432816744
1,0.95,75,170.03116774559
1,0.05,80,392.687310874462
1,0.05,80,404.62609910965
1,0.05,80,387.466659545898
1,0.1,80,389.385063380003
1,0.1,80,396.482129693031
1,0.1,80,378.924633800983
1,0.15,80,384.760494291782
1,0.15,80,319.482292830944
1,0.15,80,398.374219238758
1,0.2,80,385.845659613609
1,0.2,80,395.390859335661
1,0.2,80,356.374409765005
1,0.25,80,347.239275217056
1,0.25,80,374.400165498257
1,0.25,80,313.16866055131
1,0.3,80,381.344214826822
1,0.3,80,365.132656335831
1,0.3,80,356.910652577877
1,0.35,80,375.279865682125
1,0.35,80,321.66901949048
1,0.35,80,314.558347702026
1,0.4,80,378.101362407207
1,0.4,80,330.994409263134
1,0.4,80,305.174233287573
1,0.45,80,278.654202848673
1,0.45,80,299.61298251152
1,0.45,80,303.930119991302
1,0.5,80,319.674355655909
1,0.5,80,320.183393001556
1,0.5,80,299.752152770758
1,0.55,80,272.304400891066
1,0.55,80,282.203732162714
1,0.55,80,271.022796183825
1,0.6,80,292.655892074108
1,0.6,80,268.35561132431
1,0.6,80,298.127866506577
1,0.65,80,251.818991571665
1,0.65,80,234.763076454401
1,0.65,80,276.157572925091
1,0.7,80,254.589545398951
1,0.7,80,254.885448336601
1,0.7,80,250.430729448795
1,0.75,80,207.474739730358
1,0.75,80,235.272164851427
1,0.75,80,242.365782916546
1,0.8,80,234.723602235317
1,0.8,80,220.275495171547
1,0.8,80,208.663958281279
1,0.85,80,192.783557385206
1,0.85,80,196.303967803717
1,0.85,80,206.131816327572
1,0.9,80,190.802350223064
1,0.9,80,186.716456979513
1,0.9,80,199.400086611509
1,0.95,80,189.547458022833
1,0.95,80,165.127377003431
1,0.95,80,199.563336521387
1,0.05,85,399.694771885872
1,0.05,85,381.819748073816
1,0.05,85,405.709010124207
1,0.1,85,413.913796663284
1,0.1,85,359.607919245958
1,0.1,85,384.29486644268
1,0.15,85,375.575408518314
1,0.15,85,345.773792356253
1,0.15,85,358.859359741211
1,0.2,85,334.399286866188
1,0.2,85,363.536446928978
1,0.2,85,374.124268442392
1,0.25,85,358.065918773413
1,0.25,85,356.395330578089
1,0.25,85,364.673950135708
1,0.3,85,387.819369077683
1,0.3,85,333.742537170649
1,0.3,85,333.514249801636
