iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,519.857603192329,517.932168841362,0,0,1,2,0.7,50,1,20,48,0.000558617449295247,47.0894736842105,41.9244416629681
1,444.600855469704,444.600855469704,0,0,1,2,0.7,50,1,20,48,0.00108145074934181,45.2736842105263,45.7577206401068
2,411.826834619045,411.826834619045,0,0,1,2,0.7,50,1,20,48,0.00164103954616383,43.2894736842105,33.2522944686879
3,420.968222975731,411.826834619045,0,0,1,2,0.7,50,1,20,48,0.00214539461249028,40.9263157894737,25.7022466791262
4,375.943313002586,375.943313002586,0,0,1,2,0.7,50,1,20,48,0.00232925463560882,39.5,32.2685510805155
5,353.402250885963,353.402250885963,0,0,1,2,0.7,50,1,20,48,0.00291720482678271,39.2894736842105,31.8720371616457
6,363.679743826389,353.402250885963,0,0,1,2,0.7,50,1,20,48,0.00382388975047215,37.7368421052632,16.7574786794262
7,327.544977962971,327.544977962971,0,0,1,2,0.7,50,1,20,48,0.00385646825185945,37.9052631578947,37.7991380123915
8,327.90241932869,327.544977962971,0,0,1,2,0.7,50,1,20,48,0.00447179163743857,38.0631578947368,34.8671371235762
9,308.238062858582,308.238062858582,0,0,1,2,0.7,50,1,20,48,0.00569395410386011,37.2315789473684,26.2596988807582
10,319.891741633415,308.238062858582,0,0,1,2,0.7,50,1,20,48,0.00541966058919891,35.2052631578947,18.8180689946123
11,269.138404965401,269.138404965401,0,0,1,2,0.7,50,1,20,48,0.00600487140752183,36.2052631578947,26.9465789462215
12,266.610123872757,266.610123872757,0,0,1,2,0.7,50,1,20,48,0.00818009853377106,35.7631578947368,25.0806736531795
13,234.18412733078,234.18412733078,0,0,1,2,0.7,50,1,20,48,0.00886374759070375,32.9473684210526,26.5131229747647
14,240.633910775185,234.18412733078,0,0,1,2,0.7,50,1,20,48,0.00905838469160567,34.0789473684211,27.9300596492757
15,247.854534387589,234.18412733078,0,0,1,2,0.7,50,1,20,48,0.00823567910582564,34.2526315789474,25.701782423317
16,259.979966640472,234.18412733078,0,0,1,2,0.7,50,1,20,48,0.00826222646447976,34.7631578947368,26.7213840120451
17,257.418652534485,234.18412733078,0,0,1,2,0.7,50,1,20,48,0.00855512939658472,34.7052631578947,24.5436267590066
18,224.448877930641,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0124443914745169,33.7421052631579,32.6161853362093
19,230.076661229134,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.00969116144347978,33.4736842105263,30.3123276108674
20,238.642106413841,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0108626369507932,33.3368421052632,28.789078400964
21,225.882994413376,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0122329137013978,32.3368421052632,22.9945950544299
22,224.608466744423,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0111277051295918,33.1052631578947,29.2425582498593
23,224.498691439629,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0129559291034426,32.8105263157895,22.1864696913127
24,239.545014500618,224.448877930641,0,0,1,2,0.7,50,1,20,48,0.0130165708158876,33.3684210526316,26.3201550395455
25,217.325842261314,217.325842261314,0,0,1,2,0.7,50,1,20,48,0.0127759548513874,31.6578947368421,19.6485183330404
26,225.818539738655,217.325842261314,0,0,1,2,0.7,50,1,20,48,0.0106321616146761,31.0263157894737,21.7455698181203
27,234.829749614,217.325842261314,0,0,1,2,0.7,50,1,20,48,0.0105982330615903,33.5473684210526,23.1606803826583
28,235.52034175396,217.325842261314,0,0,1,2,0.7,50,1,20,48,0.0121981905254629,31.5,23.3334568960827
29,207.878907710314,207.878907710314,0,0,1,2,0.7,50,1,20,48,0.0135993087126689,32.4684210526316,23.9124508530877
30,226.852313905954,207.878907710314,0,0,1,2,0.7,50,1,20,48,0.0116683700464357,32.3736842105263,22.9077897925159
31,239.499329805374,207.878907710314,0,0,1,2,0.7,50,1,20,48,0.0128334890731972,32.9631578947368,21.022193427149
32,192.008522421122,192.008522421122,0,0,1,2,0.7,50,1,20,48,0.0175703061859731,28.3736842105263,26.754851305239
33,190.125325113535,190.125325113535,0,0,1,2,0.7,50,1,20,48,0.0164473686587749,30.8842105263158,22.2768381158697
34,193.654140025377,190.125325113535,0,0,1,2,0.7,50,1,20,48,0.0111860629302209,32.0736842105263,28.1295048667718
35,207.960140377283,190.125325113535,0,0,1,2,0.7,50,1,20,48,0.0138420129314656,32.3368421052632,25.9147067417463
36,220.900483042002,190.125325113535,0,0,1,2,0.7,50,1,20,48,0.0147266176996884,31.7105263157895,20.5254884974859
37,203.545028120279,190.125325113535,0,0,1,2,0.7,50,1,20,48,0.0164655118228513,31.7736842105263,23.2772231294689
38,162.5046903193,162.5046903193,0,0,1,2,0.7,50,1,20,48,0.0186221000979052,30.0894736842105,27.9443899073989
39,176.314929753542,162.5046903193,0,0,1,2,0.7,50,1,20,48,0.0250509474670458,30.6578947368421,20.9840822301257
40,159.411170393229,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0257855827205348,28.8736842105263,20.8478654406641
41,198.290930658579,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0233010161102713,29.2578947368421,20.4388968510736
42,168.390392452478,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0218107082729709,27.8736842105263,23.9427157626424
43,180.042423635721,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0203761376532602,29.3105263157895,19.923602889655
44,182.079582601786,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0243410611232403,29.1894736842105,20.0467850794495
45,172.733372360468,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0195064734422409,29.6684210526316,23.7976085467737
46,175.720423012972,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0168923675662314,30.4263157894737,22.5078780635474
47,186.773015171289,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0143668759910189,31.8526315789474,24.2143107977084
48,200.793306142092,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0128189420677774,33.0947368421053,30.1904576221502
49,204.04814222455,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0135798151852859,31.1368421052632,25.6705528735003
50,177.454029589891,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0152475745776304,32.7421052631579,22.8436341348077
51,182.085333138704,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0166417127488247,32.1947368421053,26.705792638194
52,193.427702218294,159.411170393229,0,0,1,2,0.7,50,1,20,48,0.0162929616551868,30.7105263157895,26.3813639290483
