iterations,currBestLength,bestLength,nBestPathAnts,nBestCurrentPathAnts,apha,beta,rho,Q,sigma,nAnts,nCities,pheremonesDiversity,hammingDistance2,diversityOfLength
0,494.021098732948,478.042613506317,0,0,1,2,0.7,50,1,20,48,0.000559481067761,46.8736842105263,32.6062661871178
1,409.888026624918,409.888026624918,0,0,1,2,0.7,50,1,20,48,0.00130545345020695,45.0052631578947,41.3574499418937
2,353.043646663427,353.043646663427,0,0,1,2,0.7,50,1,20,48,0.00276768696766984,41.3315789473684,31.1069827198984
3,322.573248714209,322.573248714209,0,0,1,2,0.7,50,1,20,48,0.00333123262767858,39.2052631578947,34.4200807630372
4,294.081719487906,294.081719487906,1,0,1,2,0.7,50,1,20,48,0.00455358500874063,38.9210526315789,29.1868919714547
5,266.190233677626,266.190233677626,0,0,1,2,0.7,50,1,20,48,0.00715452058115343,36.1526315789474,27.892135088689
6,266.789375752211,266.190233677626,0,0,1,2,0.7,50,1,20,48,0.00693933675853823,35.8052631578947,23.2463843722676
7,259.557852476835,259.557852476835,0,0,1,2,0.7,50,1,20,48,0.00889885059999076,32.3368421052632,19.1463277918488
8,243.795623630285,243.795623630285,0,0,1,2,0.7,50,1,20,48,0.00947706376113734,34.4315789473684,34.1683097181063
9,212.24941560626,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.00967900407507944,34.0052631578947,33.2487382408674
10,241.387264460325,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.0112034245035441,31.5578947368421,22.2758688864726
11,227.77457973361,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.0129727617720597,32.1842105263158,22.576622956545
12,227.071232527494,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.0122211866339892,32.1421052631579,18.8484681342722
13,231.73242148757,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.0130407402242866,32.178947368421,17.2762291801793
14,240.37179222703,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.014086167078899,30.9157894736842,20.2029367429186
15,240.586889833212,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.0144605079614091,30.8894736842105,23.157761454776
16,235.185419350863,212.24941560626,0,0,1,2,0.7,50,1,20,48,0.00981644889070719,31.9157894736842,22.2624954551625
