iteration,sigma,rho,Q,bestLength
5,1,0,0,457.865621447563
5,20,0,0,485.320822358131
5,1,0.01,0,472.1500852108
5,20,0.01,0,489.337030768394
5,1,0.02,0,463.142170190811
5,20,0.02,0,455.044875144959
5,1,0.03,0,459.842574477196
5,20,0.03,0,444.709531784058
5,1,0.04,0,486.902460098267
5,20,0.04,0,491.072366595268
5,1,0.05,0,462.973177909851
5,20,0.05,0,455.991500854492
5,1,0.06,0,471.825578719378
5,20,0.06,0,486.275937497616
5,1,0.07,0,460.21156078577
5,20,0.07,0,444.825360029936
5,1,0.08,0,450.225399374962
5,20,0.08,0,465.235909759998
5,1,0.09,0,487.397151499987
5,20,0.09,0,473.136451750994
5,1,0.1,0,493.822111606598
5,20,0.1,0,473.438001513481
5,1,0.11,0,444.361452758312
5,20,0.11,0,492.028513431549
5,1,0.12,0,495.897336363792
5,20,0.12,0,459.937883377075
5,1,0.13,0,469.027288079262
5,20,0.13,0,486.810391783714
5,1,0.14,0,484.128888130188
5,20,0.14,0,482.488599181175
5,1,0.15,0,467.988302230835
5,20,0.15,0,473.062452554703
5,1,0.16,0,472.469440937042
5,20,0.16,0,418.48141938448
5,1,0.17,0,485.517165243626
5,20,0.17,0,471.899169892073
5,1,0.18,0,470.337394356728
5,20,0.18,0,484.462285220623
5,1,0.19,0,490.290668606758
5,20,0.19,0,471.358635663986
5,1,0.2,0,475.667704343796
5,20,0.2,0,488.119314670563
5,1,0.21,0,479.567000776529
5,20,0.21,0,429.535073637962
5,1,0.22,0,473.7115624547
5,20,0.22,0,429.349375247955
5,1,0.23,0,466.343919038773
5,20,0.23,0,448.628981113434
5,1,0.24,0,473.942797422409
5,20,0.24,0,474.260173946619
5,1,0.25,0,458.181134611368
5,20,0.25,0,495.40200650692
5,1,0.26,0,472.033801794052
5,20,0.26,0,453.969761252403
5,1,0.27,0,466.933338522911
5,20,0.27,0,484.391487121582
5,1,0.28,0,450.762757956982
5,20,0.28,0,401.756084799767
5,1,0.29,0,484.755933761597
5,20,0.29,0,456.705515742302
